index,date,observation,value
FI02,1960-01,Air temperature,-11.3
FI03,1960-01,Air temperature,-9.7
FI04,1960-01,Air temperature,-11.7
FI05,1960-01,Air temperature,-13.5
FI06,1960-01,Air temperature,-10.6
FI07,1960-01,Air temperature,-8.8
FI08,1960-01,Air temperature,-11.1
FI09,1960-01,Air temperature,-10.1
FI10,1960-01,Air temperature,-16.0
FI11,1960-01,Air temperature,-10.5
FI12,1960-01,Air temperature,-8.0
FI13,1960-01,Air temperature,-12.9
FI14,1960-01,Air temperature,-12.6
FI15,1960-01,Air temperature,-11.9
FI16,1960-01,Air temperature,-10.7
FI17,1960-01,Air temperature,-9.1
FI18,1960-01,Air temperature,-9.8
FI19,1960-01,Air temperature,-9.4
FI02,1960-02,Air temperature,-10.9
FI03,1960-02,Air temperature,-10.1
FI04,1960-02,Air temperature,-11.8
FI05,1960-02,Air temperature,-14.0
FI06,1960-02,Air temperature,-10.4
FI07,1960-02,Air temperature,-10.1
FI08,1960-02,Air temperature,-10.9
FI09,1960-02,Air temperature,-10.2
FI10,1960-02,Air temperature,-15.6
FI11,1960-02,Air temperature,-9.9
FI12,1960-02,Air temperature,-8.9
FI13,1960-02,Air temperature,-13.4
FI14,1960-02,Air temperature,-13.3
FI15,1960-02,Air temperature,-12.1
FI16,1960-02,Air temperature,-10.1
FI17,1960-02,Air temperature,-8.6
FI18,1960-02,Air temperature,-9.8
FI19,1960-02,Air temperature,-8.8
FI02,1960-03,Air temperature,-4.5
FI03,1960-03,Air temperature,-4.0
FI04,1960-03,Air temperature,-4.9
FI05,1960-03,Air temperature,-5.9
FI06,1960-03,Air temperature,-5.1
FI07,1960-03,Air temperature,-4.8
FI08,1960-03,Air temperature,-4.6
FI09,1960-03,Air temperature,-5.3
FI10,1960-03,Air temperature,-5.6
FI11,1960-03,Air temperature,-4.4
FI12,1960-03,Air temperature,-4.2
FI13,1960-03,Air temperature,-5.5
FI14,1960-03,Air temperature,-5.7
FI15,1960-03,Air temperature,-4.7
FI16,1960-03,Air temperature,-4.3
FI17,1960-03,Air temperature,-4.1
FI18,1960-03,Air temperature,-5.2
FI19,1960-03,Air temperature,-4.8
FI02,1960-04,Air temperature,1.5
FI03,1960-04,Air temperature,2.2
FI04,1960-04,Air temperature,1.5
FI05,1960-04,Air temperature,1.0
FI06,1960-04,Air temperature,1.4
FI07,1960-04,Air temperature,0.7
FI08,1960-04,Air temperature,1.5
FI09,1960-04,Air temperature,0.9
FI10,1960-04,Air temperature,0.1
FI11,1960-04,Air temperature,1.5
FI12,1960-04,Air temperature,1.5
FI13,1960-04,Air temperature,1.3
FI14,1960-04,Air temperature,1.0
FI15,1960-04,Air temperature,1.6
FI16,1960-04,Air temperature,1.7
FI17,1960-04,Air temperature,2.5
FI18,1960-04,Air temperature,1.6
FI19,1960-04,Air temperature,2.1
FI02,1960-05,Air temperature,11.1
FI03,1960-05,Air temperature,10.5
FI04,1960-05,Air temperature,10.8
FI05,1960-05,Air temperature,9.7
FI06,1960-05,Air temperature,10.6
FI07,1960-05,Air temperature,8.1
FI08,1960-05,Air temperature,10.6
FI09,1960-05,Air temperature,10.4
FI10,1960-05,Air temperature,8.2
FI11,1960-05,Air temperature,10.5
FI12,1960-05,Air temperature,9.0
FI13,1960-05,Air temperature,10.0
FI14,1960-05,Air temperature,10.1
FI15,1960-05,Air temperature,10.7
FI16,1960-05,Air temperature,11.0
FI17,1960-05,Air temperature,10.2
FI18,1960-05,Air temperature,10.8
FI19,1960-05,Air temperature,10.8
FI02,1960-06,Air temperature,16.3
FI03,1960-06,Air temperature,15.1
FI04,1960-06,Air temperature,15.8
FI05,1960-06,Air temperature,13.6
FI06,1960-06,Air temperature,15.8
FI07,1960-06,Air temperature,13.2
FI08,1960-06,Air temperature,15.4
FI09,1960-06,Air temperature,15.9
FI10,1960-06,Air temperature,12.0
FI11,1960-06,Air temperature,15.3
FI12,1960-06,Air temperature,14.2
FI13,1960-06,Air temperature,14.9
FI14,1960-06,Air temperature,14.1
FI15,1960-06,Air temperature,15.4
FI16,1960-06,Air temperature,16.3
FI17,1960-06,Air temperature,15.3
FI18,1960-06,Air temperature,15.9
FI19,1960-06,Air temperature,15.7
FI02,1960-07,Air temperature,18.4
FI03,1960-07,Air temperature,17.5
FI04,1960-07,Air temperature,18.5
FI05,1960-07,Air temperature,18.4
FI06,1960-07,Air temperature,17.6
FI07,1960-07,Air temperature,16.4
FI08,1960-07,Air temperature,17.7
FI09,1960-07,Air temperature,18.0
FI10,1960-07,Air temperature,17.6
FI11,1960-07,Air temperature,17.2
FI12,1960-07,Air temperature,17.0
FI13,1960-07,Air temperature,18.7
FI14,1960-07,Air temperature,18.4
FI15,1960-07,Air temperature,18.6
FI16,1960-07,Air temperature,17.8
FI17,1960-07,Air temperature,17.6
FI18,1960-07,Air temperature,17.5
FI19,1960-07,Air temperature,17.4
FI02,1960-08,Air temperature,15.2
FI03,1960-08,Air temperature,14.3
FI04,1960-08,Air temperature,15.0
FI05,1960-08,Air temperature,13.6
FI06,1960-08,Air temperature,14.6
FI07,1960-08,Air temperature,14.2
FI08,1960-08,Air temperature,14.5
FI09,1960-08,Air temperature,15.5
FI10,1960-08,Air temperature,12.8
FI11,1960-08,Air temperature,14.3
FI12,1960-08,Air temperature,14.8
FI13,1960-08,Air temperature,14.3
FI14,1960-08,Air temperature,14.3
FI15,1960-08,Air temperature,14.9
FI16,1960-08,Air temperature,14.9
FI17,1960-08,Air temperature,14.9
FI18,1960-08,Air temperature,15.0
FI19,1960-08,Air temperature,15.0
FI02,1960-09,Air temperature,9.1
FI03,1960-09,Air temperature,9.1
FI04,1960-09,Air temperature,8.7
FI05,1960-09,Air temperature,7.5
FI06,1960-09,Air temperature,9.6
FI07,1960-09,Air temperature,9.3
FI08,1960-09,Air temperature,8.8
FI09,1960-09,Air temperature,10.1
FI10,1960-09,Air temperature,7.1
FI11,1960-09,Air temperature,9.4
FI12,1960-09,Air temperature,10.0
FI13,1960-09,Air temperature,7.7
FI14,1960-09,Air temperature,8.0
FI15,1960-09,Air temperature,8.7
FI16,1960-09,Air temperature,9.6
FI17,1960-09,Air temperature,10.2
FI18,1960-09,Air temperature,10.2
FI19,1960-09,Air temperature,10.3
