fmisid,date,observation,value
101178,2007-06-26 00:00:00,Snow depth,-1.0
101471,1996-05-04 00:00:00,Snow depth,-1.0
101679,1968-11-14 00:00:00,Precipitation amount,-1.0
102001,1983-11-27 00:00:00,Precipitation amount,0.2
101315,2020-11-22 00:00:00,Maximum temperature,4.6
100944,2002-06-05 00:00:00,Air temperature,16.4
101071,2008-11-05 00:00:00,Precipitation amount,-1.0
100938,1982-12-19 00:00:00,Precipitation amount,-1.0
101474,1976-01-29 00:00:00,Snow depth,22.0
101762,1995-07-17 00:00:00,Precipitation amount,-1.0
101806,1980-10-19 00:00:00,Snow depth,0.0
101509,1971-05-22 00:00:00,Snow depth,-1.0
101118,1988-09-26 00:00:00,Minimum temperature,4.4
100907,1995-07-14 00:00:00,Maximum temperature,22.6
100990,1989-02-20 00:00:00,Precipitation amount,-1.0
101507,1967-04-04 00:00:00,Snow depth,0.0
101833,1984-12-04 00:00:00,Precipitation amount,0.0
101240,1961-04-28 00:00:00,Precipitation amount,-1.0
101764,1970-12-22 00:00:00,Precipitation amount,4.5
101653,1979-12-23 00:00:00,Minimum temperature,-4.2
101463,1969-01-15 00:00:00,Maximum temperature,-5.0
101677,1980-06-26 00:00:00,Precipitation amount,0.7
101282,2001-02-24 00:00:00,Snow depth,31.0
102005,1999-01-28 00:00:00,Snow depth,56.0
101952,1972-12-04 00:00:00,Minimum temperature,-0.2
101636,1974-02-16 00:00:00,Air temperature,-1.9
101133,1968-03-22 00:00:00,Snow depth,48.0
101831,2017-08-08 00:00:00,Precipitation amount,-1.0
101555,1964-11-11 00:00:00,Snow depth,3.0
100961,1976-12-26 00:00:00,Precipitation amount,0.1
102001,1971-04-06 00:00:00,Air temperature,-6.6
101935,1966-12-06 00:00:00,Snow depth,13.0
101910,1977-10-17 00:00:00,Precipitation amount,15.0
101441,2005-01-04 00:00:00,Minimum temperature,-4.3
101654,1961-06-26 00:00:00,Minimum temperature,9.9
100973,1972-04-25 00:00:00,Minimum temperature,-4.2
101700,1976-03-11 00:00:00,Precipitation amount,1.7
101864,2009-04-17 00:00:00,Precipitation amount,2.4
101775,2020-01-29 00:00:00,Air temperature,-4.7
101763,1981-04-11 00:00:00,Precipitation amount,-1.0
101963,1962-01-03 00:00:00,Precipitation amount,1.9
101861,1981-07-08 00:00:00,Air temperature,13.4
101290,1995-05-06 00:00:00,Precipitation amount,-1.0
101491,2001-09-03 00:00:00,Snow depth,-1.0
101783,2020-04-14 00:00:00,Minimum temperature,-0.8
101377,1986-09-30 00:00:00,Snow depth,-1.0
101851,2014-07-17 00:00:00,Air temperature,18.2
101787,2013-03-22 00:00:00,Snow depth,40.0
101367,1974-02-02 00:00:00,Snow depth,73.0
101253,1988-05-08 00:00:00,Precipitation amount,-1.0
101013,1991-06-25 00:00:00,Air temperature,15.6
101393,1990-10-24 00:00:00,Maximum temperature,6.4
101887,2016-06-15 00:00:00,Snow depth,-1.0
102008,1972-06-14 00:00:00,Precipitation amount,15.4
101272,2010-01-19 00:00:00,Snow depth,22.0
101044,1975-05-13 00:00:00,Minimum temperature,5.8
101634,1981-06-22 00:00:00,Maximum temperature,19.5
101116,2017-04-06 00:00:00,Precipitation amount,-1.0
101861,1971-01-15 00:00:00,Snow depth,39.0
101603,2002-03-30 00:00:00,Snow depth,66.0
101712,1995-02-27 00:00:00,Precipitation amount,-1.0
101013,1985-09-29 00:00:00,Air temperature,4.2
101154,1964-06-11 00:00:00,Air temperature,10.3
101039,2002-06-13 00:00:00,Air temperature,15.5
101628,2020-06-21 00:00:00,Maximum temperature,22.2
101333,1989-10-01 00:00:00,Snow depth,-1.0
101558,1979-04-20 00:00:00,Precipitation amount,-1.0
101531,1966-05-22 00:00:00,Snow depth,-1.0
101462,1984-01-06 00:00:00,Snow depth,39.0
101651,2020-07-04 00:00:00,Air temperature,14.9
101115,1996-12-19 00:00:00,Snow depth,8.0
101372,1969-03-25 00:00:00,Precipitation amount,-1.0
101871,2002-04-26 00:00:00,Snow depth,35.0
101603,2009-07-11 00:00:00,Minimum temperature,8.4
101282,1977-05-02 00:00:00,Snow depth,0.0
101928,2008-08-14 00:00:00,Maximum temperature,15.9
101446,2017-05-16 00:00:00,Snow depth,-1.0
101480,1995-07-11 00:00:00,Minimum temperature,10.7
102028,1996-08-26 00:00:00,Precipitation amount,2.8
101747,1987-05-06 00:00:00,Snow depth,-1.0
101570,2011-01-05 00:00:00,Air temperature,-14.3
101083,1974-05-26 00:00:00,Precipitation amount,4.0
101474,2000-03-03 00:00:00,Precipitation amount,18.9
101787,2021-11-18 00:00:00,Snow depth,-1.0
101017,2001-08-07 00:00:00,Precipitation amount,-1.0
101799,2012-03-09 00:00:00,Minimum temperature,-5.2
101806,1997-07-12 00:00:00,Precipitation amount,-1.0
101367,2012-04-16 00:00:00,Minimum temperature,-4.6
101969,1984-06-07 00:00:00,Air temperature,4.5
101923,1986-12-30 00:00:00,Snow depth,10.0
100907,1993-10-22 00:00:00,Precipitation amount,-1.0
101045,1990-08-28 00:00:00,Precipitation amount,-1.0
101934,1972-08-20 00:00:00,Snow depth,-1.0
101464,1963-05-09 00:00:00,Air temperature,5.1
101533,1978-05-10 00:00:00,Minimum temperature,-5.0
101282,1980-03-14 00:00:00,Snow depth,43.0
101481,2013-03-05 00:00:00,Minimum temperature,-5.5
100951,2019-11-26 00:00:00,Minimum temperature,0.5
101112,1979-11-22 00:00:00,Snow depth,-1.0
101830,1997-11-12 00:00:00,Precipitation amount,-1.0
100968,2015-09-18 00:00:00,Snow depth,-1.0
101430,2013-04-15 00:00:00,Minimum temperature,1.7
101023,2023-12-05 00:00:00,Minimum temperature,-9.5
101308,1982-07-20 00:00:00,Precipitation amount,-1.0
102056,1993-03-25 00:00:00,Precipitation amount,-1.0
101778,1975-06-20 00:00:00,Precipitation amount,-1.0
101391,2009-01-31 00:00:00,Snow depth,19.0
101154,2001-10-15 00:00:00,Minimum temperature,-0.5
101179,2006-05-04 00:00:00,Snow depth,-1.0
101595,1999-10-10 00:00:00,Precipitation amount,-1.0
101022,2002-10-02 00:00:00,Minimum temperature,5.5
101144,1974-06-04 00:00:00,Snow depth,-1.0
101156,1981-06-19 00:00:00,Air temperature,9.7
101756,2020-06-25 00:00:00,Minimum temperature,17.5
101950,2020-11-23 00:00:00,Precipitation amount,2.0
101343,1984-08-14 00:00:00,Precipitation amount,-1.0
101136,2006-12-11 00:00:00,Precipitation amount,6.3
101625,1993-04-16 00:00:00,Air temperature,-0.7
101281,1998-12-26 00:00:00,Precipitation amount,-1.0
101030,1960-01-08,Air temperature,-13.0
101523,2003-09-26 00:00:00,Precipitation amount,4.6
101422,1985-07-19 00:00:00,Minimum temperature,11.0
101775,2016-09-11 00:00:00,Maximum temperature,16.8
101051,2000-05-04 00:00:00,Precipitation amount,-1.0
101570,1999-06-28 00:00:00,Maximum temperature,23.9
101861,2006-09-14 00:00:00,Minimum temperature,2.0
101520,1964-07-23 00:00:00,Snow depth,-1.0
101159,1977-12-26 00:00:00,Snow depth,14.0
101345,1980-09-29 00:00:00,Precipitation amount,-1.0
101936,1970-05-30 00:00:00,Precipitation amount,-1.0
101194,1996-07-15 00:00:00,Snow depth,-1.0
102027,1970-04-02 00:00:00,Snow depth,56.0
101669,1974-08-27 00:00:00,Snow depth,-1.0
101494,1972-03-16 00:00:00,Snow depth,38.0
100947,2004-06-24 00:00:00,Air temperature,12.5
101223,1985-05-30 00:00:00,Snow depth,-1.0
101842,1978-04-24 00:00:00,Snow depth,48.0
101491,2005-05-15 00:00:00,Snow depth,-1.0
129963,2014-04-27 00:00:00,Maximum temperature,2.4
101129,1969-11-21 00:00:00,Precipitation amount,0.0
101786,2004-02-02 00:00:00,Air temperature,-9.0
101537,1992-04-17 00:00:00,Air temperature,-1.4
101149,1997-02-05 00:00:00,Precipitation amount,-1.0
100934,1961-06-10 00:00:00,Minimum temperature,14.0
101230,1976-02-22 00:00:00,Snow depth,28.0
101775,2000-06-29 00:00:00,Minimum temperature,11.5
101361,1982-07-26 00:00:00,Air temperature,18.4
101891,2008-06-25 00:00:00,Precipitation amount,5.8
101310,2008-07-03 00:00:00,Minimum temperature,8.1
101425,1969-08-02 00:00:00,Snow depth,-1.0
101899,2019-09-01 00:00:00,Minimum temperature,10.9
101402,1970-07-10 00:00:00,Precipitation amount,12.2
101492,2008-10-10 00:00:00,Snow depth,-1.0
100952,1980-11-04 00:00:00,Precipitation amount,-1.0
101050,1982-05-25 00:00:00,Snow depth,-1.0
101244,1974-09-29 00:00:00,Snow depth,-1.0
