fmisid,station,latitude,longitude
100907,Jomala Maarianhamina lentoasema,60.12442,19.90717
100909,Lemland Nyhamn,59.95942,19.95364
100911,Korppoo Korpogård,60.16675,21.56335
100912,Houtskari Hyppeis,60.21667,21.43333
100913,Saltvik Kvarnbo,60.28337,20.0466
100914,Geta Östergeta,60.38337,19.91325
100915,Rymättylä kk,60.40009,21.96335
100916,Merimasku Sannainen,60.45145,21.84773
100932,Hanko Russarö,59.77342,22.94497
100934,Kaarina Yltöinen,60.38751,22.54953
100936,Naantali keskusta,60.46677,22.03
100937,Tammisaari Bromarv Vättlax,59.93432,22.92766
100940,Turku Kaarninko,60.43343,22.28002
100952,Suomusjärvi Kettula,60.39766,23.76012
100954,Pohja Pohjankuru,60.10013,23.54678
100955,Salo Kärkkä,60.373,23.11214
100968,Vantaa Helsinki-Vantaan lentoasema,60.31744,24.96425
100971,Helsinki Kaisaniemi,60.17325,24.94703
100973,Helsinki Ilmala,60.20017,24.91351
100974,Lohja Porla,60.24446,24.04951
100976,Vihti Maasoja,60.41875,24.39862
100979,Vihti Suontaka,60.40016,24.38012
101012,Vantaa Tikkurila,60.2835,25.06351
101013,Tuusula Ruotsinkylä,60.36685,24.99682
101014,Porvoo Jernböle,60.40019,25.64685
101015,Tuusula Hyrylä,60.41685,25.03015
101017,Porvoo Bengtsby,60.26686,25.6302
101018,Porvoo Norrveckoski,60.38352,25.41351
101030,Kotka Rankki,60.38476,27.04611
101044,Pori lentoasema,61.46778,21.79325
101045,Rauma Kuuskajaskari,61.13927,21.36489
101046,Mietoinen Saari,60.63343,21.86331
101047,Rauma kpki,61.11677,21.46324
101048,Kustavi Kivimaa,60.55008,21.3633
101051,Uusikaupunki Korsaari,60.86676,21.22992
101052,Lappi Kaukola,61.06679,21.91326
101054,Rauma Äyhö,61.15617,21.57302
101055,Luvia Peränkylä,61.33345,21.66322
101065,Turku lentoasema,60.51231,22.26617
101067,Huittinen Lauttakylä,61.18347,22.71329
101068,Kokemäki Rausenkulma,61.27144,22.24783
101071,Nousiainen Koljola,60.61678,22.11333
101077,Köyliö Yttilä,61.10013,22.36328
101079,Harjavalta Torttila,61.3168,22.11324
101089,Huittinen Lauha,61.20014,22.56328
101104,Jokioinen Ilmala,60.81397,23.49825
101105,Tampere Härmälä,61.46506,23.74606
101106,Tammela Mustiala,60.81683,23.76338
101109,Somero Joensuu,60.63347,23.51339
101112,Kylmäkoski Jokihaavisto,61.15017,23.66334
101114,Toijala Satama,61.18351,23.93001
101116,Nokia Tottijärvi,61.4086,23.3197
101130,Hyvinkää Hyvinkäänkylä,60.59603,24.80442
101131,Hattula Leteensuo,61.06722,24.24167
101132,Hattula Lepaa,61.11514,24.32408
101134,Pälkäne Myttäälä,61.33352,24.21334
101135,Vihti Hiiskula,60.5152,24.52068
101136,Nurmijärvi Rajamäki,60.5335,24.74679
101139,Hausjärvi Lavinto,60.81686,24.84677
101144,Tuulos Teuro,61.07658,24.83283
101153,Orimattila Käkelä,60.80021,25.76348
101160,Hollola kirkonkylä,61.04978,25.42952
101167,Orimattila Keituri,60.83353,25.43012
101191,Kouvola Utti lentoasema,60.8955,26.91511
101193,Lapinjärvi Ingermanninkylä,60.61689,26.14685
101194,Kouvola Anjala,60.70344,26.79375
101196,Heinola Asemantaus,61.21111,26.04003
101213,Valkeala Selänpää Verla,61.06692,26.63016
101220,Virolahti Ravijoki,60.53358,27.54694
101225,Miehikkälä Hauhia,60.71693,27.69693
101230,Suomenniemi Punkankylä,61.31667,27.56667
101237,Lappeenranta lentoasema,61.04428,28.15731
101238,Ruokolahti Kotaniemi,61.36698,28.66358
101240,Imatra Siitola,61.16698,28.78027
101241,Ruokolahti Kotaniemi Latosuo,61.36699,28.69691
101253,Rautjärvi Simpele Kangaskoski,61.43376,29.34117
101255,Mäntyluoto/Pori,61.58345,21.47984
101259,Isojoki Vanhakylä,62.16667,21.81667
